metric,value
symbols_tested,9
symbols_failed,0
total_setups,1760
total_trades,240
expired_setups,1520
win_trades,167
loss_trades,73
win_rate_pct,69.58
total_r,149.12
average_r,0.62
profit_factor,2.89
max_drawdown_pct,-8.95
cagr_pct,17.85
initial_equity,100000.0
final_equity,432660.43
risk_per_trade_pct,1.0
robustness,Broadly robust across the tested symbols.
AAPL_trades,29
AAPL_win_rate_pct,55.17
AAPL_total_r,7.81
AAPL_average_r,0.27
AMD_trades,31
AMD_win_rate_pct,64.52
AMD_total_r,15.53
AMD_average_r,0.5
AMZN_trades,25
AMZN_win_rate_pct,76.0
AMZN_total_r,19.76
AMZN_average_r,0.79
GOOGL_trades,28
GOOGL_win_rate_pct,78.57
GOOGL_total_r,27.31
GOOGL_average_r,0.98
META_trades,22
META_win_rate_pct,72.73
META_total_r,12.47
META_average_r,0.57
MSFT_trades,24
MSFT_win_rate_pct,70.83
MSFT_total_r,22.09
MSFT_average_r,0.92
NFLX_trades,29
NFLX_win_rate_pct,72.41
NFLX_total_r,18.04
NFLX_average_r,0.62
NVDA_trades,32
NVDA_win_rate_pct,84.38
NVDA_total_r,27.43
NVDA_average_r,0.86
TSLA_trades,20
TSLA_win_rate_pct,45.0
TSLA_total_r,-1.34
TSLA_average_r,-0.07
profitable_symbols,8
